cntry,agea,Gender,Education_Level,Occupation_Code_Name,hinctnta,Pol_Interest_Level,lrscale,Vote_Status,Interpersonal_Trust,Institutional_Trust,National_Econ_Sat,Household_Fin_Sat,Pol_News_Freq,Internet_Use_Freq,happy
GB,57.0,Female,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",3.0,High,2.0,No,Low,Low,Pessimistic,Pessimistic,Rarely,Often,0.0
NO,55.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,2.0,Middle,4.0,Yes,Low,Medium,Middle,Optimistic,Middle,Often,10.0
BG,60.0,Male,Low (Primary/Lower Secondary),7-Craft and Related Trades Workers,2.0,Low,0.0,Yes,Low,Low,Pessimistic,Pessimistic,Middle,Often,5.0
IS,29.0,Male,Tertiary/Bachelor's Degree,5-Service and Sales Workers,4.0,Middle,4.0,Yes,Medium,Low,Pessimistic,Optimistic,Often,Often,4.0
BG,65.0,Male,Upper Secondary/Vocational,5-Service and Sales Workers,3.0,Low,3.0,Yes,Low,Low,Pessimistic,Pessimistic,Often,Often,5.0
ME,25.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,3.0,Middle,4.0,No,Low,Low,Middle,Middle,Rarely,Often,5.0
GB,90.0,Male,Low (Primary/Lower Secondary),1-Managers,2.0,Middle,5.0,Yes,Low,Low,Pessimistic,Optimistic,Middle,Rarely,2.0
PL,30.0,Male,Upper Secondary/Vocational,1-Managers,4.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Optimistic,Middle,Often,3.0
GR,87.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,Middle,5.0,No,Low,Medium,Pessimistic,Optimistic,Often,Rarely,0.0
ME,60.0,Female,Upper Secondary/Vocational,7-Craft and Related Trades Workers,5.0,Middle,0.0,Yes,Medium,Low,Pessimistic,Optimistic,Rarely,Often,10.0
BG,73.0,Female,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",3.0,High,3.0,Yes,Low,Low,Middle,Pessimistic,Middle,Often,2.0
LT,59.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,3.0,Middle,10.0,No,High,Medium,Middle,Optimistic,Rarely,Rarely,5.0
LV,71.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,4.0,High,3.0,Yes,Low,Low,Pessimistic,Middle,Often,Often,4.0
IS,48.0,Female,Low (Primary/Lower Secondary),5-Service and Sales Workers,3.0,High,2.0,Yes,Medium,Low,Pessimistic,Middle,Rarely,Rarely,4.0
BE,46.0,Female,Tertiary/Bachelor's Degree,9-Elementary Occupations,1.0,High,2.0,Yes,Low,Low,Pessimistic,Pessimistic,Rarely,Rarely,0.0
ME,74.0,Male,Tertiary/Bachelor's Degree,9-Elementary Occupations,4.0,Middle,5.0,Yes,Medium,Medium,Middle,Middle,Middle,Rarely,5.0
ME,74.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,Middle,5.0,Yes,Medium,Medium,Middle,Middle,Middle,Rarely,4.0
DE,71.0,Male,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Low,1.0,Yes,Medium,Medium,Middle,Optimistic,Rarely,Often,10.0
SK,60.0,Male,Upper Secondary/Vocational,2-Professionals,10.0,Low,0.0,Yes,Medium,High,Pessimistic,Optimistic,Middle,Rarely,10.0
ME,73.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,3.0,Middle,5.0,Yes,High,Medium,Optimistic,Pessimistic,Often,Often,5.0
CY,64.0,Female,Low (Primary/Lower Secondary),5-Service and Sales Workers,4.0,Middle,3.0,Yes,Low,Medium,Middle,Optimistic,Middle,Rarely,5.0
GR,59.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,4.0,High,3.0,Yes,Low,Low,Pessimistic,Pessimistic,Rarely,Rarely,5.0
FR,47.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,2.0,High,10.0,No,Low,Low,Pessimistic,Optimistic,Middle,Rarely,10.0
PT,33.0,Male,Low (Primary/Lower Secondary),"6-Skilled Agricultural, Forestry and Fishery Workers",2.0,Middle,5.0,No,Medium,Low,Pessimistic,Middle,Rarely,Rarely,5.0
FI,28.0,Male,Upper Secondary/Vocational,5-Service and Sales Workers,2.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Middle,Rarely,Often,4.0
HR,71.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,Low,5.0,Yes,Medium,Medium,Pessimistic,Optimistic,Often,Rarely,5.0
HR,32.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,10.0,High,1.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Often,5.0
RS,52.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,3.0,High,5.0,Yes,Low,Medium,Pessimistic,Middle,Middle,Rarely,2.0
HR,28.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,3.0,High,5.0,No,Medium,Low,Pessimistic,Middle,Rarely,Often,5.0
CY,41.0,Male,Upper Secondary/Vocational,2-Professionals,2.0,High,0.0,Yes,Low,Medium,Pessimistic,Middle,Rarely,Often,4.0
SK,55.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,2.0,Middle,5.0,Yes,Low,High,Pessimistic,Middle,Often,Often,10.0
GB,71.0,Male,Low (Primary/Lower Secondary),7-Craft and Related Trades Workers,2.0,Low,5.0,Yes,Low,Low,Pessimistic,Middle,Often,Often,4.0
BG,40.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Middle,5.0,No,Low,Low,Pessimistic,Pessimistic,Rarely,Rarely,4.0
ME,59.0,Male,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",1.0,Middle,1.0,Yes,Medium,Low,Pessimistic,Pessimistic,Rarely,Rarely,10.0
LT,38.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Middle,5.0,No,Low,Medium,Middle,Middle,Middle,Rarely,10.0
LV,73.0,Male,Tertiary/Bachelor's Degree,7-Craft and Related Trades Workers,3.0,Middle,2.0,No,Low,Medium,Pessimistic,Middle,Often,Often,5.0
IT,67.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,2.0,Middle,4.0,No,Low,Low,Pessimistic,Middle,Middle,Rarely,3.0
HU,32.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Low,10.0,Yes,Low,High,Middle,Optimistic,Often,Often,10.0
RS,59.0,Male,Upper Secondary/Vocational,1-Managers,10.0,Middle,5.0,Yes,Medium,High,Optimistic,Optimistic,Middle,Rarely,10.0
BG,34.0,Male,Low (Primary/Lower Secondary),9-Elementary Occupations,4.0,High,5.0,Yes,Low,Low,Pessimistic,Pessimistic,Rarely,Rarely,5.0
PL,62.0,Female,Low (Primary/Lower Secondary),5-Service and Sales Workers,4.0,Low,4.0,Yes,Low,Low,Middle,Optimistic,Often,Often,10.0
PL,40.0,Female,Upper Secondary/Vocational,"6-Skilled Agricultural, Forestry and Fishery Workers",4.0,Middle,4.0,Yes,Low,Medium,Middle,Optimistic,Rarely,Rarely,10.0
IT,54.0,Female,Upper Secondary/Vocational,1-Managers,4.0,Middle,5.0,Yes,Medium,Low,Middle,Optimistic,Often,Rarely,5.0
ES,59.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,2.0,Middle,5.0,Yes,Medium,Medium,Pessimistic,Optimistic,Often,Rarely,4.0
SK,72.0,Female,Tertiary/Bachelor's Degree,2-Professionals,1.0,Middle,3.0,Yes,Medium,Low,Pessimistic,Middle,Rarely,Rarely,3.0
GB,33.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,2.0,Middle,5.0,Yes,Medium,Low,Middle,Middle,Rarely,Often,4.0
PT,46.0,Male,Low (Primary/Lower Secondary),5-Service and Sales Workers,5.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Optimistic,Middle,Often,5.0
LV,71.0,Female,Tertiary/Bachelor's Degree,7-Craft and Related Trades Workers,2.0,Middle,5.0,Yes,Medium,Low,Middle,Middle,Often,Rarely,5.0
IE,20.0,Male,Tertiary/Bachelor's Degree,5-Service and Sales Workers,4.0,High,0.0,No,Medium,Low,Pessimistic,Middle,Often,Often,4.0
BG,48.0,Female,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Middle,2.0,Yes,Low,Medium,Pessimistic,Middle,Middle,Rarely,5.0
ME,79.0,Male,Upper Secondary/Vocational,9-Elementary Occupations,5.0,Middle,5.0,Yes,Medium,Medium,Middle,Middle,Middle,Rarely,5.0
FR,48.0,Male,Upper Secondary/Vocational,"6-Skilled Agricultural, Forestry and Fishery Workers",4.0,Middle,10.0,No,Medium,Low,Pessimistic,Optimistic,Middle,Rarely,10.0
PT,43.0,Male,Low (Primary/Lower Secondary),4-Clerical Support Workers,3.0,High,5.0,No,Low,Low,Pessimistic,Optimistic,Often,Often,5.0
IS,54.0,Female,Upper Secondary/Vocational,3-Technicians and Associate Professionals,5.0,Middle,5.0,Yes,Medium,Low,Middle,Optimistic,Middle,Often,10.0
SI,69.0,Female,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",1.0,Middle,5.0,Yes,Low,Low,Middle,Pessimistic,Often,Rarely,5.0
GB,38.0,Female,Tertiary/Bachelor's Degree,5-Service and Sales Workers,10.0,Middle,5.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Often,1.0
PT,31.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,3.0,Middle,5.0,Yes,Medium,Medium,Pessimistic,Middle,Rarely,Rarely,5.0
LT,57.0,Female,Tertiary/Bachelor's Degree,9-Elementary Occupations,2.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Optimistic,Middle,Often,5.0
HR,36.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,1.0,Low,2.0,Yes,Medium,Low,Pessimistic,Middle,Rarely,Often,3.0
ES,35.0,Female,Low (Primary/Lower Secondary),5-Service and Sales Workers,4.0,Middle,2.0,No,Medium,Medium,Pessimistic,Middle,Middle,Often,10.0
PL,42.0,Male,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",2.0,Middle,10.0,Yes,Low,Medium,Middle,Optimistic,Middle,Often,5.0
BG,56.0,Male,Upper Secondary/Vocational,"8-Plant and Machine Operators, and Assemblers",1.0,Middle,5.0,Yes,Low,Low,Middle,Pessimistic,Often,Rarely,3.0
HU,19.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,3.0,High,5.0,No,Medium,Medium,Middle,Middle,Often,Rarely,5.0
LV,63.0,Female,Tertiary/Bachelor's Degree,3-Technicians and Associate Professionals,4.0,Middle,5.0,Yes,Medium,Low,Pessimistic,Middle,Middle,Often,5.0
SI,69.0,Male,Upper Secondary/Vocational,7-Craft and Related Trades Workers,2.0,Middle,5.0,Yes,Medium,Medium,Middle,Optimistic,Middle,Rarely,5.0
ES,43.0,Male,Low (Primary/Lower Secondary),5-Service and Sales Workers,5.0,High,2.0,Yes,Low,Low,Pessimistic,Optimistic,Rarely,Often,10.0
HU,32.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,5.0,Low,0.0,Yes,Low,Low,Pessimistic,Optimistic,Often,Often,10.0
SI,52.0,Male,Upper Secondary/Vocational,5-Service and Sales Workers,1.0,Middle,0.0,Yes,Medium,Medium,Pessimistic,Optimistic,Middle,Rarely,3.0
ES,61.0,Male,Low (Primary/Lower Secondary),"8-Plant and Machine Operators, and Assemblers",4.0,Middle,5.0,Yes,Medium,Medium,Middle,Optimistic,Middle,Rarely,5.0
LV,84.0,Male,Tertiary/Bachelor's Degree,1-Managers,4.0,Middle,5.0,Yes,Low,Low,Middle,Optimistic,Often,Rarely,5.0
BG,48.0,Male,Low (Primary/Lower Secondary),7-Craft and Related Trades Workers,2.0,Middle,5.0,No,Low,Low,Pessimistic,Pessimistic,Often,Often,5.0
IL,46.0,Female,Low (Primary/Lower Secondary),9-Elementary Occupations,2.0,High,2.0,Yes,Low,Low,Pessimistic,Middle,Middle,Often,5.0
BE,47.0,Female,Upper Secondary/Vocational,5-Service and Sales Workers,3.0,Middle,5.0,Yes,Low,Low,Pessimistic,Pessimistic,Middle,Rarely,1.0
